TCGA_subtype,immune_cell_type,tau,pvalue
BLCA,B.cells.naive,-0.019031324,0.701299275
BLCA,B.cells.memory,-0.009500345,0.851704132
BLCA,Plasma.cells,-0.118496607,0.013019207
BLCA,T.cells.CD8,0.014874372,0.754436899
BLCA,T.cells.CD4.naive,0.020848176,0.703788768
BLCA,T.cells.CD4.memory.resting,0.044037965,0.385637682
BLCA,T.cells.CD4.memory.activated,-0.054225158,0.317207322
BLCA,T.cells.follicular.helper,-0.005983057,0.899925943
BLCA,T.cells.regulatory..Tregs.,0.042580205,0.379941932
BLCA,T.cells.gamma.delta,-0.068411924,0.23080091
BLCA,NK.cells.resting,-0.015329655,0.767481531
BLCA,NK.cells.activated,0.087430047,0.071197591
BLCA,Monocytes,-0.001640512,0.972912588
BLCA,Macrophages.M0,0.016523852,0.741210733
BLCA,Macrophages.M1,0.061372687,0.201552756
BLCA,Macrophages.M2,-0.033467337,0.481565235
BLCA,Dendritic.cells.resting,0.028290867,0.582598653
BLCA,Dendritic.cells.activated,0.030320206,0.538319314
BLCA,Mast.cells.resting,0.034242494,0.489664094
BLCA,Mast.cells.activated,-0.092337552,0.078143519
BLCA,Eosinophils,-0.029938305,0.597248499
BLCA,Neutrophils,-0.061630195,0.238546088
BRCA,B.cells.naive,0.031328781,0.194045465
BRCA,B.cells.memory,-0.050076693,0.065945517
BRCA,Plasma.cells,0.015165681,0.531622497
BRCA,T.cells.CD8,-0.005964813,0.804124651
BRCA,T.cells.CD4.naive,-0.027332028,0.350607897
BRCA,T.cells.CD4.memory.resting,0.033216869,0.168520576
BRCA,T.cells.CD4.memory.activated,-0.030781474,0.27820306
BRCA,T.cells.follicular.helper,-0.037467484,0.119312595
BRCA,T.cells.regulatory..Tregs.,-0.052945512,0.031563042
BRCA,T.cells.gamma.delta,-0.020634934,0.46756524
BRCA,NK.cells.resting,-0.025242772,0.354134478
BRCA,NK.cells.activated,0.005587451,0.822588091
BRCA,Monocytes,0.011056191,0.656009589
BRCA,Macrophages.M0,-0.019965787,0.418036828
BRCA,Macrophages.M1,-0.025441242,0.290363629
BRCA,Macrophages.M2,0.008568376,0.721616485
BRCA,Dendritic.cells.resting,0.036564595,0.15059644
BRCA,Dendritic.cells.activated,0.085916228,0.002014598
BRCA,Mast.cells.resting,0.019403093,0.421474986
BRCA,Mast.cells.activated,-0.02159514,0.443060155
BRCA,Eosinophils,0.001240047,0.966111027
BRCA,Neutrophils,0.035211573,0.188635605
CHOL,B.cells.naive,0.113356007,0.517009544
CHOL,B.cells.memory,0.216750123,0.238391143
CHOL,Plasma.cells,-0.046676003,0.789617093
CHOL,T.cells.CD8,0.111111111,0.549811917
CHOL,T.cells.CD4.naive,0.215686275,0.289093315
CHOL,T.cells.CD4.memory.resting,0.078688948,0.649210806
CHOL,T.cells.CD4.memory.activated,-0.019607843,0.923223632
CHOL,T.cells.follicular.helper,0.346405229,0.047735621
CHOL,T.cells.regulatory..Tregs.,0.275411316,0.111383381
CHOL,T.cells.gamma.delta,-0.137254902,0.499919006
CHOL,NK.cells.resting,-0.351833609,0.07981132
CHOL,NK.cells.activated,0.202614379,0.259920062
CHOL,Monocytes,0.211231476,0.224256557
CHOL,Macrophages.M0,-0.060012004,0.731569352
CHOL,Macrophages.M1,0.150326797,0.410133613
CHOL,Macrophages.M2,-0.307189542,0.081283866
CHOL,Dendritic.cells.resting,0.156956985,0.393231659
CHOL,Dendritic.cells.activated,-0.147347774,0.439841248
CHOL,Mast.cells.resting,0.070366722,0.695479304
CHOL,Mast.cells.activated,-0.199352871,0.295979191
CHOL,Eosinophils,-0.126660099,0.528274972
CHOL,Neutrophils,-0.337760265,0.060262962
COAD,B.cells.naive,0.085151952,0.131876093
