"","TCGA_subtype","immune_cell_type","tau","pvalue"
"2","BLCA","B.cells.naive","-0.0190313237165925","0.70129927518128"
"3","BLCA","B.cells.memory","-0.00950034483302815","0.851704132252049"
"4","BLCA","Plasma.cells","-0.118496607118762","0.0130192071688733"
"5","BLCA","T.cells.CD8","0.0148743718592965","0.754436899356749"
"6","BLCA","T.cells.CD4.naive","0.0208481760162031","0.703788768352161"
"7","BLCA","T.cells.CD4.memory.resting","0.044037965367565","0.385637682445667"
"8","BLCA","T.cells.CD4.memory.activated","-0.054225158376438","0.317207321679981"
"9","BLCA","T.cells.follicular.helper","-0.00598305722026298","0.899925942709938"
"10","BLCA","T.cells.regulatory..Tregs.","0.042580204676388","0.379941932376483"
"11","BLCA","T.cells.gamma.delta","-0.0684119237344623","0.230800910228618"
"12","BLCA","NK.cells.resting","-0.0153296546305868","0.767481530613282"
"13","BLCA","NK.cells.activated","0.0874300465380631","0.0711975911919345"
"14","BLCA","Monocytes","-0.00164051231971543","0.972912588487148"
"15","BLCA","Macrophages.M0","0.0165238516881878","0.741210732509342"
"16","BLCA","Macrophages.M1","0.0613726868269453","0.201552755984009"
"17","BLCA","Macrophages.M2","-0.0334673366834171","0.481565235349217"
"18","BLCA","Dendritic.cells.resting","0.0282908666577854","0.582598653494888"
"19","BLCA","Dendritic.cells.activated","0.0303202063298719","0.538319314024079"
"20","BLCA","Mast.cells.resting","0.0342424940341589","0.489664093597537"
"21","BLCA","Mast.cells.activated","-0.0923375518675576","0.0781435186351248"
"22","BLCA","Eosinophils","-0.029938304743749","0.597248498707558"
"23","BLCA","Neutrophils","-0.0616301946943666","0.238546088105941"
"24","BRCA","B.cells.naive","0.0313287805787345","0.19404546491875"
"25","BRCA","B.cells.memory","-0.0500766933423742","0.065945516776064"
"26","BRCA","Plasma.cells","0.0151656809447938","0.531622497318037"
"27","BRCA","T.cells.CD8","-0.00596481267154491","0.804124650794382"
"28","BRCA","T.cells.CD4.naive","-0.0273320278122294","0.350607896719832"
"29","BRCA","T.cells.CD4.memory.resting","0.0332168689476638","0.168520576238654"
"30","BRCA","T.cells.CD4.memory.activated","-0.0307814739354282","0.278203059540573"
"31","BRCA","T.cells.follicular.helper","-0.0374674841235025","0.119312595260584"
"32","BRCA","T.cells.regulatory..Tregs.","-0.0529455116253777","0.0315630416409018"
"33","BRCA","T.cells.gamma.delta","-0.0206349335536228","0.467565240021841"
"34","BRCA","NK.cells.resting","-0.02524277197046","0.354134477512812"
"35","BRCA","NK.cells.activated","0.00558745098825561","0.822588091419573"
"36","BRCA","Monocytes","0.0110561913838547","0.65600958852993"
"37","BRCA","Macrophages.M0","-0.0199657871627382","0.418036827754339"
"38","BRCA","Macrophages.M1","-0.0254412419616581","0.290363628966129"
"39","BRCA","Macrophages.M2","0.00856837563758795","0.721616485223784"
"40","BRCA","Dendritic.cells.resting","0.0365645948859353","0.150596440238695"
"41","BRCA","Dendritic.cells.activated","0.0859162281523207","0.00201459770029779"
"42","BRCA","Mast.cells.resting","0.0194030932155978","0.421474985592739"
"43","BRCA","Mast.cells.activated","-0.0215951398991256","0.443060155349345"
"44","BRCA","Eosinophils","0.00124004743220497","0.966111027319828"
"45","BRCA","Neutrophils","0.0352115728872973","0.188635605130259"
"46","CHOL","B.cells.naive","0.113356006802267","0.517009544282209"
"47","CHOL","B.cells.memory","0.216750122509923","0.23839114342811"
"48","CHOL","Plasma.cells","-0.0466760028009337","0.789617092758828"
"49","CHOL","T.cells.CD8","0.111111111111111","0.549811917108792"
"50","CHOL","T.cells.CD4.naive","0.215686274509804","0.289093315162018"
"51","CHOL","T.cells.CD4.memory.resting","0.0786889475364634","0.649210806009615"
"52","CHOL","T.cells.CD4.memory.activated","-0.0196078431372549","0.92322363236859"
"53","CHOL","T.cells.follicular.helper","0.34640522875817","0.0477356207014108"
"54","CHOL","T.cells.regulatory..Tregs.","0.275411316377622","0.11138338077999"
"55","CHOL","T.cells.gamma.delta","-0.137254901960784","0.499919005844664"
"56","CHOL","NK.cells.resting","-0.351833609100624","0.0798113203528868"
"57","CHOL","NK.cells.activated","0.202614379084967","0.25992006239424"
"58","CHOL","Monocytes","0.211231475835024","0.224256556671859"
"59","CHOL","Macrophages.M0","-0.0600120036012004","0.731569351591631"
"60","CHOL","Macrophages.M1","0.150326797385621","0.410133613342611"
"61","CHOL","Macrophages.M2","-0.30718954248366","0.0812838664380259"
"62","CHOL","Dendritic.cells.resting","0.156956985265806","0.393231658721827"
"63","CHOL","Dendritic.cells.activated","-0.147347774122831","0.439841247950193"
"64","CHOL","Mast.cells.resting","0.0703667218201249","0.69547930381404"
"65","CHOL","Mast.cells.activated","-0.199352870872065","0.295979191223234"
"66","CHOL","Eosinophils","-0.126660099276225","0.528274971564382"
"67","CHOL","Neutrophils","-0.337760264736599","0.0602629616351845"
