"","SA","cancer","gene"
"1",0.000117849447022406,"BLCA","ENSG00000163520.13"
"2",0.000200100993893587,"BLCA","ENSG00000154175.16"
"3",0.0553929126496865,"BLCA","ENSG00000183889.12"
"4",0.0944929178764458,"BLCA","ENSG00000214967.5"
"5",0.0558195788507504,"BLCA","ENSG00000214940.8"
"6",0.0649553022056655,"BLCA","ENSG00000148180.19"
"7",0,"BLCA","ENSG00000163681.14"
"8",0.0769589423396831,"BLCA","ENSG00000141959.16"
"9",0.122832398205322,"BLCA","ENSG00000153113.23"
"10",0,"BLCA","ENSG00000161955.16"
"11",0.0125629135418073,"BLCA","ENSG00000197321.14"
"12",0.00127136659504049,"BLCA","ENSG00000157637.12"
"13",0,"BLCA","ENSG00000075413.17"
"14",0.00368584175889323,"BLCA","ENSG00000130717.12"
"15",0,"BLCA","ENSG00000179750.15-ENSG00000243811.8"
"16",0,"BLCA","ENSG00000179750.15-ENSG00000128394.16"
"17",0.0266343208027777,"BLCA","ENSG00000243811.8"
"18",0,"BLCA","ENSG00000243811.8-ENSG00000128394.16"
"19",0,"BLCA","ENSG00000130592.15"
"20",0.0157915345883456,"BLCA","ENSG00000244682.7"
"21",0.0499914986797183,"BLCA","ENSG00000182606.14"
"22",0.0425946522493484,"BLCA","ENSG00000110931.18"
"23",0.000167220011325636,"BLCA","ENSG00000111731.12"
"24",0,"BLCA","ENSG00000132589.15-ENSG00000167536.13"
"25",0.330534204062074,"BLCA","ENSG00000137076.20"
"26",0.00101101101072356,"BLCA","ENSG00000163939.18"
"27",0.325264818640616,"BLCA","ENSG00000171603.16"
"28",0.000288451162755024,"BLCA","ENSG00000035403.17"
"29",0.153263404989981,"BLCA","ENSG00000148660.20"
"30",0,"BLCA","ENSG00000123416.15-ENSG00000167552.13"
"31",0.0258924407502827,"BLCA","ENSG00000093167.17"
"32",0,"BLCA","ENSG00000125962.14"
"33",0.0078419096028654,"BLCA","ENSG00000126214.21"
"34",0.0159921663485547,"BLCA","ENSG00000240771.6"
"35",0,"BLCA","ENSG00000274049.4"
"36",0,"BLCA","ENSG00000115274.14-ENSG00000239779.6"
"37",0,"BLCA","ENSG00000155269.11"
"38",0.26036473419581,"BLCA","ENSG00000109625.18"
"39",0.0167449049712251,"BLCA","ENSG00000272647.2"
"40",0.00198784990369304,"BLCA","ENSG00000254806.5"
"41",0.0682691052192436,"BLCA","ENSG00000136002.18"
"42",0,"BLCA","ENSG00000136631.12"
"43",0.0471243803497566,"BLCA","ENSG00000130731.15"
"44",0.132332668537073,"BLCA","ENSG00000283900.1"
"45",0.123904382107838,"BLCA","ENSG00000005075.15-ENSG00000168255.19"
"46",0.123569424423205,"BLCA","ENSG00000005075.15-ENSG00000228049.7"
"47",0.123569424423205,"BLCA","ENSG00000005075.15-ENSG00000267645.5"
"48",0.0196882017660788,"BLCA","ENSG00000243156.7"
"49",0.111357122488617,"BLCA","ENSG00000173210.19"
"50",0,"BLCA","ENSG00000173660.11"
"51",0,"BLCA","ENSG00000154258.16"
"52",0.00226928476161304,"BLCA","ENSG00000175662.17"
"53",0.131180893451804,"BLCA","ENSG00000165914.14"
"54",0.00145602352483128,"BLCA","ENSG00000107771.15"
"55",0.0923060325084047,"BLCA","ENSG00000198074.9"
"56",0.0688457424756639,"BLCA","ENSG00000198074.9-ENSG00000227471.8"
"57",0.00446926175358997,"BLCA","ENSG00000144283.21"
"58",0,"BLCA","ENSG00000267561.2"
"59",0,"BLCA","ENSG00000153936.16"
"60",0.0113536728066589,"BLCA","ENSG00000136270.13"
"61",0,"BLCA","ENSG00000187758.7-ENSG00000248144.5"
"62",0,"BLCA","ENSG00000145692.14"
"63",0,"BLCA","ENSG00000159713.10-ENSG00000159714.10"
"64",0,"BLCA","ENSG00000159714.10"
"65",0.00240735028681223,"BLCA","ENSG00000143776.18"
"66",0.0265299617818156,"BLCA","ENSG00000132329.10"
"67",0.162993109207714,"BLCA","ENSG00000100320.22"
"68",0.0496814590998598,"BLCA","ENSG00000130822.15"
"69",0.0217710625938197,"BLCA","ENSG00000008441.16"
"70",0.00273435587044258,"BLCA","ENSG00000112186.11"
"71",0.00979708238405921,"BLCA","ENSG00000132694.18"
"72",0.00616738272056436,"BLCA","ENSG00000075790.10"
"73",0.0091171346365015,"BLCA","ENSG00000100345.20"
"74",0.0856733860557516,"BLCA","ENSG00000131089.15"
"75",0,"BLCA","ENSG00000063601.16"
"76",0.052154893877627,"BLCA","ENSG00000120709.10"
"77",0.408979106748046,"BLCA","ENSG00000273294.1"
"78",0,"BLCA","ENSG00000213639.9"
"79",0,"BLCA","ENSG00000077157.21"
"80",0.00447174473257436,"BLCA","ENSG00000152952.11"
"81",0.0589924233505634,"BLCA","ENSG00000137177.19"
"82",0,"BLCA","ENSG00000063245.14"
"83",0.0101317957016716,"BLCA","ENSG00000148737.16"
"84",0.412087999160186,"BLCA","ENSG00000135424.15"
"85",0.0154522999028635,"BLCA","ENSG00000143367.15"
"86",0.0754002645627249,"BLCA","ENSG00000115380.19"
"87",0,"BLCA","ENSG00000239713.8"
"88",0.0209213605957712,"BLCA","ENSG00000112759.16"
"89",0.00543285258126419,"BLCA","ENSG00000110841.13"
"90",0.0010189158050418,"BLCA","ENSG00000072163.19"
"91",0,"BLCA","ENSG00000101413.11"
"92",0.0226757783012899,"BLCA","ENSG00000162585.16"
"93",0,"BLCA","ENSG00000068724.15"
"94",0,"BLCA","ENSG00000175470.18"
"95",0.130631221588121,"BLCA","ENSG00000118960.12"
"96",0.117392676611313,"BLCA","ENSG00000126822.16"
"97",0,"BLCA","ENSG00000092009.10-ENSG00000100453.12"
"98",0,"BLCA","ENSG00000100448.3-ENSG00000100453.12"
"99",0,"BLCA","ENSG00000198521.11-ENSG00000160321.14"
"100",0,"BLCA","ENSG00000198521.11"
"101",0,"BLCA","ENSG00000160321.14-ENSG00000197360.9"
"102",0,"BLCA","ENSG00000150347.14"
"103",0,"BLCA","ENSG00000169851.15"
"104",0.00992215627085571,"BLCA","ENSG00000025423.11"
"105",0.000652886764406966,"BLCA","ENSG00000011275.18"
"106",0,"BLCA","ENSG00000133142.17-ENSG00000196507.10"
"107",0,"BLCA","ENSG00000186526.12-ENSG00000186529.15"
"108",0,"BLCA","ENSG00000186526.12-ENSG00000186204.14"
"109",0,"BLCA","ENSG00000186529.15-ENSG00000186204.14"
"110",0.238413218548307,"BLCA","ENSG00000129473.9"
"111",0.00491898922140195,"BLCA","ENSG00000103197.16"
"112",0,"BLCA","ENSG00000162458.12"
"113",2.32036437176915e-05,"BLCA","ENSG00000172661.17"
